Index,A,B,A_SMILES,B_SMILES,vdw_ETDG,density_mean,density_std,FFV(MD calculated),dp1(input SMILES for GCNN)
C154207,,,CC(C)(C)c1cc(Oc2ccc3c(c2)C(=O)OC3=O)c(C(C)(C)C)cc1Oc1ccc2c(c1)C(=O)OC2=O,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.526379135,1.127076062,0.004255287,0.228749881,CC(C)(C)c1cc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccc(N)cc6)cc5)cc4)cc2)C3=O)c(C(C)(C)C)cc1Oc1ccc2c(c1)C(=O)OC2=O
C85683,,,CC(C)(CCCCC(C)(C)c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,Nc1ccc(Cc2ccc(N)cc2)cc1,0.546592268,1.114345128,0.006180696,0.20817984,CC(C)(CCCCC(C)(C)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N)cc3)cc1)C2=O)c1ccc2c(c1)C(=O)OC2=O
C9840,,,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,Cc1c(N)c(C)c2c(c1N)C(C)(C)CC2,0.514512404,1.008723737,0.006831854,0.325298863,Cc1c(N)c2c(c(C)c1N1C(=O)c3ccc(-c4ccc5c(c4)C(=O)OC5=O)cc3C1=O)CCC2(C)C
C11463,,,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,Cc1cc(Cc2cc(C)c(N)c(C)c2)cc(C)c1N,0.531476303,1.103069269,0.003889303,0.23786827,Cc1cc(Cc2cc(C)c(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)OC8=O)cc6)cc5)cc4C3=O)c(C)c2)cc(C)c1N
C85658,,,CC(C)(CCCCC(C)(C)c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,Nc1ccc(Oc2ccc(N)cc2)cc1,0.535482268,1.137464395,0.004922618,0.208180382,CC(C)(CCCCC(C)(C)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N)cc3)cc1)C2=O)c1ccc2c(c1)C(=O)OC2=O
C1538,,,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,Cc1cc(C(c2ccccc2)(c2cc(C)c(N)c(C(C)C)c2)C(F)(F)F)cc(C(C)C)c1N,0.480465409,1.137152997,0.006133258,0.289728516,Cc1cc(C(c2ccccc2)(c2cc(C)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)OC6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C(C)C)c2)C(F)(F)F)cc(C(C)C)c1N
C1626,,,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,CC(C)c1cc(C2(c3ccc(N)c(C(C)C)c3)c3ccccc3-c3ccccc32)ccc1N,0.491418513,1.119481658,0.005651011,0.284825785,CC(C)c1cc(C2(c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)OC7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)c3ccccc3-c3ccccc32)ccc1N
C1407,,,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,CC(C)c1cc(Cc2cc(C(C)C)c(N)c(C(C)C)c2)cc(C(C)C)c1N,0.506063116,1.088749614,0.00533435,0.283731171,CC(C)c1cc(Cc2cc(C(C)C)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)OC6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C(C)C)c2)cc(C(C)C)c1N
C1208,,,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,CC(C)(C)c1cc(Cc2ccc(N)c(C(C)(C)C)c2)ccc1N,0.48987016,1.143479177,0.005839354,0.271796774,CC(C)(C)c1cc(Cc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)OC6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C(C)(C)C)c2)ccc1N
C11559,,,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(Sc2ccc(Oc3ccc(Sc4ccc(N)cc4)cc3)cc2)cc1,0.508829291,1.216033873,0.003697327,0.195620251,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Sc4ccc(Oc5ccc(Sc6ccc(N)cc6)cc5)cc4)cc2)C3=O)cc1
